threshold,recall,fpr,grid_precision,prevalence_precision,tp,fp,n_pos,n_neg
-31.164,1.0,0.1154513888888889,0.684085510688836,0.4904214559386973,576,266,576,2304
-31.1085,1.0,0.11371527777777778,0.6873508353221957,0.4942084942084943,576,262,576,2304
-30.951,1.0,0.11241319444444445,0.6898203592814371,0.49708737864077673,576,259,576,2304
-30.7805,1.0,0.03689236111111111,0.8714069591527988,0.750733137829912,576,85,576,2304
-30.686999999999998,1.0,0.03211805555555555,0.8861538461538462,0.7757575757575758,576,74,576,2304
-30.588,1.0,0.0078125,0.9696969696969697,0.9343065693430657,576,18,576,2304
-30.476999999999997,1.0,0.004774305555555556,0.9812606473594548,0.9588014981273407,576,11,576,2304
-30.2175,1.0,0.004340277777777778,0.9829351535836177,0.9624060150375939,576,10,576,2304
-29.375,1.0,0.0008680555555555555,0.9965397923875432,0.9922480620155039,576,2,576,2304
-14.375,1.0,0.0,1.0,1.0,576,0,576,2304
1.0,0.0,0.0,1.0,1.0,0,0,576,2304
